31-03-2026 19:34:52 | GET | Cafeteria-API/produtos
31-03-2026 19:34:56 | GET | Cafeteria-API/produtos
31-03-2026 19:35:00 | GET | Cafeteria-API/produtos
31-03-2026 19:35:06 | GET | Cafeteria-API/produtos
31-03-2026 19:35:07 | GET | Cafeteria-API/produtos
31-03-2026 19:35:12 | GET | Cafeteria-API/produtos
31-03-2026 19:35:14 | GET | Cafeteria-API/produtos
31-03-2026 19:35:21 | GET | Cafeteria-API/produtos
31-03-2026 19:35:24 | GET | Cafeteria-API/produtos
31-03-2026 19:35:27 | GET | Cafeteria-API/produtos
31-03-2026 19:35:32 | POST | cafeteria-api/produtos
31-03-2026 19:35:33 | POST | cafeteria-api/produtos
31-03-2026 19:35:33 | POST | cafeteria-api/produtos
31-03-2026 19:35:33 | POST | cafeteria-api/produtos
31-03-2026 19:35:33 | POST | cafeteria-api/produtos
31-03-2026 19:35:34 | POST | cafeteria-api/produtos
31-03-2026 19:35:34 | POST | cafeteria-api/produtos
31-03-2026 19:35:34 | POST | cafeteria-api/produtos
31-03-2026 19:35:34 | POST | cafeteria-api/produtos
31-03-2026 19:36:15 | POST | Cafeteria-API/produtos
31-03-2026 19:36:20 | GET | Cafeteria-API/produtos
31-03-2026 19:36:35 | POST | cafeteria-api/produtos
31-03-2026 19:36:35 | POST | cafeteria-api/produtos
31-03-2026 19:36:35 | POST | cafeteria-api/produtos
31-03-2026 19:36:35 | POST | cafeteria-api/produtos
31-03-2026 19:36:36 | POST | cafeteria-api/produtos
31-03-2026 19:36:36 | POST | cafeteria-api/produtos
31-03-2026 19:36:36 | POST | cafeteria-api/produtos
31-03-2026 19:36:50 | GET | Cafeteria-API/produtos
31-03-2026 19:36:55 | GET | Cafeteria-API/produtos
31-03-2026 19:37:01 | GET | Cafeteria-API/produtos
31-03-2026 19:37:03 | GET | Cafeteria-API/produtos
31-03-2026 19:37:05 | GET | Cafeteria-API/produtos
31-03-2026 19:37:12 | POST | cafeteria-api/produtos
31-03-2026 19:37:12 | POST | cafeteria-api/produtos
31-03-2026 19:37:13 | POST | cafeteria-api/produtos
31-03-2026 19:37:13 | POST | cafeteria-api/produtos
31-03-2026 19:38:44 | GET | Cafeteria-API/produtos
31-03-2026 19:42:12 | GET | Cafeteria-API/produtos
31-03-2026 19:42:57 | GET | Cafeteria-API/produtos
31-03-2026 19:44:02 | GET | Cafeteria-API/produtos
31-03-2026 19:44:05 | GET | Cafeteria-API/produtos
31-03-2026 19:44:09 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:09 | POST | cafeteria-api/produtos
31-03-2026 19:44:10 | POST | cafeteria-api/produtos
31-03-2026 19:44:10 | POST | cafeteria-api/produtos
31-03-2026 19:44:10 | POST | cafeteria-api/produtos
31-03-2026 19:44:10 | POST | cafeteria-api/produtos
31-03-2026 19:46:46 | GET | Cafeteria-API/produtos
31-03-2026 19:46:48 | GET | Cafeteria-API/produtos
31-03-2026 19:46:55 | GET | Cafeteria-API/produtos
31-03-2026 19:46:57 | GET | Cafeteria-API/produtos
31-03-2026 19:46:59 | GET | Cafeteria-API/produtos
31-03-2026 19:47:01 | GET | Cafeteria-API/produtos
31-03-2026 19:47:03 | GET | Cafeteria-API/produtos
31-03-2026 19:47:04 | GET | Cafeteria-API/produtos
31-03-2026 19:47:10 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:47:10 | OPTIONS | cafeteria-api/produtos
